shift_id,helper_id,membership_community_name,membership_funding_scheme,membership_custom_funding_scheme_name,visits_in_combo,revenue_in_combo,projected_hours_in_combo,actual_hours_in_combo
1552347.0,38655,State - NSW,hcp,,1,338.0,2.0,2.0
1853880.0,58687,State - NSW,dva,,3,0.0,2.31,2.31
1853882.0,58687,State - NSW,dva,,3,0.0,2.31,2.31
1853883.0,58687,State - NSW,dva,,3,0.0,2.31,2.31
1929334.0,51139,Stream - NSW Aged Care,hcp,,1,550.8,6.0,6.0
1929335.0,51139,Stream - NSW Aged Care,hcp,,2,550.8,6.0,6.0
1956269.0,38819,Sydney - East,dva,,1,0.0,12.0,12.0
1956284.0,38806,State - NSW,dva,,1,0.0,12.0,12.0
1956325.0,58668,State - NSW,dva,,2,0.0,1.54,1.54
1956325.0,58668,Sydney - Hills,dva,,2,0.0,1.02,1.02
1956325.0,58668,Sydney - Hills,vhc,,1,0.0,2.0,2.0
1956332.0,38629,NSW - CEM - Jackie Stephenson,hcp,,2,423.0,3.0,3.0
1956332.0,38629,State - NSW,dva,,1,0.0,0.77,0.77
1956333.0,38613,State - NSW,hcp,,1,145.0,1.0,1.0
1956333.0,38613,Sydney - Hills,dva,,2,0.0,1.2,1.2
1956334.0,38615,NSW - CEM - Jackie Stephenson,hcp,,1,145.0,1.0,1.0
1956334.0,38615,Sydney - Hills,dva,,3,0.0,2.31,2.31
1956381.0,38590,State - NSW,hcp,,1,216.0,2.0,2.0
1956435.0,51149,State - NSW,custom,Insurer,1,2434.64,8.0,8.0
1956436.0,51149,State - NSW,custom,Insurer,2,2694.56,11.0,11.0
1956437.0,51149,State - NSW,custom,Insurer,2,2764.79,11.0,11.0
1956530.0,50922,NSW - CM - Waseem Hasan,ndis,,2,747.74,8.0,8.0
1956531.0,38931,State - NSW,dva,,1,0.0,11.25,11.25
1956605.0,56232,State - NSW,dva,,2,0.0,1.54,1.54
1959302.0,38599,NSW - CM - Paola San Miguel,dva,,1,0.0,0.33,0.33
1959302.0,38599,State - NSW,dva,,6,0.0,2.02,2.02
1959302.0,38599,Sydney - North,dva,,1,0.0,0.35,0.35
1969991.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
1969991.0,38877,Sydney - Hills,dva,,2,0.0,1.54,1.54
1990556.0,38921,State - NSW,dva,,1,0.0,12.0,12.0
1990558.0,38832,State - NSW,dva,,1,0.0,12.0,12.0
1990559.0,38944,State - NSW,dva,,5,0.0,1.75,1.75
1990559.0,38944,State - NSW,ndis,,1,123.65,1.0,1.0
1990562.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
1990562.0,38877,Sydney - Hills,dva,,2,0.0,1.54,1.54
1990567.0,38877,State - NSW,dva,,2,0.0,1.7,1.7
1990567.0,38877,Sydney - Hills,dva,,3,0.0,2.31,2.31
1990572.0,38913,State - NSW,custom,Brokerage,1,165.0,2.0,2.0
1990572.0,38913,State - NSW,dva,,2,0.0,0.85,0.85
1990572.0,38913,Stream - NSW Aged Care,hcp,,1,114.0,1.0,1.0
1990590.0,38819,Sydney - East,dva,,1,0.0,12.0,12.0
1990602.0,38806,State - NSW,dva,,1,0.0,12.0,12.0
1990603.0,38806,State - NSW,dva,,1,0.0,12.0,12.0
1990604.0,38806,State - NSW,dva,,1,0.0,12.0,12.0
1990623.0,38679,State - NSW,dva,,3,0.0,1.05,1.05
1990623.0,38679,State - NSW,hcp,,1,57.0,0.5,0.5
1990623.0,38679,Sydney - Nepean,dva,,2,0.0,1.52,1.52
1990624.0,38710,State - NSW,dva,,1,0.0,12.0,12.0
1990632.0,38944,State - NSW,private_funding,,2,0.0,5.32,5.32
1990644.0,50670,State - NSW,dva,,3,0.0,2.31,2.31
1990645.0,50666,State - NSW,dva,,2,0.0,1.54,1.54
1990650.0,58668,State - NSW,dva,,2,0.0,1.54,1.54
1990650.0,58668,Sydney - Hills,dva,,2,0.0,1.02,1.02
1990650.0,58668,Sydney - Hills,vhc,,1,0.0,2.0,2.0
1990651.0,38877,State - NSW,dva,,1,0.0,0.77,0.77
1990651.0,38877,Sydney - Hills,dva,,3,0.0,2.31,2.31
1990658.0,38629,NSW - CEM - Jackie Stephenson,hcp,,2,423.0,3.0,3.0
1990658.0,38629,State - NSW,dva,,1,0.0,0.77,0.77
1990660.0,38615,NSW - CEM - Jackie Stephenson,hcp,,1,145.0,1.0,1.0
