id,Email,$currency_symbol,$field_states,Account_Type,Referral_Source,Last_Activity_Time,Industry,Additional_Notes,$state,$process_flow,Subsidiary,$locked_for_me,$approved,Created_Time,$editable,City,Postcode,Pillar,State,Country,Parent_Company_1,$zia_owner_assignment,Annual_Revenue,Account_Statuses,$is_duplicate,Contact_Type_Business,Description,Website,Funding_Source_who_is_paying_for_services,Record_Image,$review,Phone,Account_Name,Modified_Time,Funnel_Status,Sector,Relationship_to_the_person_you_are_enquiring_for,How_did_you_hear_about_us,Line_2,Mobile,Line_1,$orchestration,$in_merge,Which_service_are_you_interested_in,Locked__s,Tag,$approval_state,Owner__name,Owner__id,Owner__email,$approval__delegate,$approval__takeover,$approval__approve,$approval__reject,$approval__resubmit,Created_By__name,Created_By__id,Created_By__email,$review_process__approve,$review_process__reject,$review_process__resubmit,$layout_id__display_label,$layout_id__name,$layout_id__id,Modified_By__name,Modified_By__id,Modified_By__email,Parent_Company_1__name,Parent_Company_1__id
84257000004163005,info@mnd.org.au,$,,,,2026-02-06T13:14:46+11:00,,,save,False,,False,True,2026-02-06T09:09:23+11:00,True,Canterbury,3126,Disability,VIC,,,owner_recommendation_unavailable,,,False,B2B,,https://www.mnd.org.au/,,,,03 98302122,MND Vic,2026-02-06T13:14:46+11:00,SQL,Disability,,,,,265 Canterbury Rd,False,False,,False,[],approved,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,False,False,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,,
84257000004145181,,$,,Customer,Business Development Partner,,,Part Of Calvary Care,save,False,,False,True,2026-02-05T21:28:02+11:00,True,Dandenong,3175,,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part Of Calvary Care,calvarycare.org.au,Private,,,,Calvary Scottsvale,2026-02-05T21:28:02+11:00,Prospect,"Aged, Vets, Disability.",,,,,71 Scott Street,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000004145149,,$,,Customer,,,,Part of Calvary Care,save,False,,False,True,2026-02-05T21:19:00+11:00,True,Endeavour Hills,3802,,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part Of Calvary care,calvarycare.org.au,Private,,,03 9706 2188,Calvary Viewhills Manor,2026-02-05T21:19:00+11:00,Prospect,Aged,,,,,55 Heatherton Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Calvary Care,84257000004145080
84257000004145085,,$,,Customer,Business Development Partner,,,Part of Calvary Care,save,False,,False,True,2026-02-05T21:06:38+11:00,True,Narre Warren North,3804,,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part of Calvary care,calvarycare.org.au,Private,,,039796 9166,Calvary St Judes,2026-02-05T21:06:38+11:00,Prospect,Aged,,,,,381- 403 Narre Warren North Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Calvary Care,84257000004145080
84257000004145080,,$,,,,,,,save,False,,False,True,2026-02-05T21:06:36+11:00,True,,,,,,,owner_recommendation_unavailable,,,False,,,calvarycare.org.au,,,,,Calvary Care,2026-02-05T21:06:36+11:00,Prospect,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000004145044,manager@vermontretire.com.au,$,,Customer,Business Development Partner,2026-02-05T21:02:09+11:00,,Part of Calvary Care,save,False,,False,True,2026-02-05T20:58:14+11:00,True,Springvale,3171,,Victoria,Australia,,owner_recommendation_unavailable,,Active,False,B2B,Part Of Calvary Care,calvarycare.org.au,Private,,,03 9546 6133,Calvary Springvale,2026-02-05T20:58:14+11:00,Prospect,Aged,,,32/562-564 Burwood Highway,,340-344 Springvale Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Calvary Care,84257000004145039
84257000004145039,,$,,,,,,,save,False,,False,True,2026-02-05T20:58:10+11:00,True,,,,,,,owner_recommendation_unavailable,,,False,,,calvarycare.org.au,,,,,Calvary Care,2026-02-05T20:58:10+11:00,Prospect,,,,,,,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,,
84257000004145007,,$,,Customer,Business Development Partner,,,Part of Calvary Care,save,False,Lumia Care,False,True,2026-02-05T20:50:14+11:00,True,Springvale South,3172,,Victoria,,,owner_recommendation_unavailable,,Active,False,B2B,Part of Calvary care,calvarycare.org.au,Private,,,03 9549 5333,Calvary Kingston Gardens,2026-02-05T20:50:14+11:00,Prospect,Aged,,,,,210 Clarke Road,False,False,,False,[],approved,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,False,False,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Ashley Theodore,84257000002132017,atheodore@lumiacare.com.au,Calvary Care,84257000001278877
84257000004121046,,$,,,,,,,save,False,,False,True,2026-02-05T13:45:55+11:00,True,Taperoo,5017,,B2B,,,owner_recommendation_unavailable,,,False,,,,,,,1300 472 847,Gratis Home Care,2026-02-05T13:45:55+11:00,,,,Other,,,365 Victoria Road,False,False,,False,[],approved,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,False,False,Charlie Rose,84257000000295001,crose@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Charlie Rose,84257000000295001,crose@lumiacare.com.au,,
84257000004118158,,$,,,,,,,save,False,,False,True,2026-02-05T12:14:14+11:00,True,,,Disability,VIC,,,owner_recommendation_unavailable,,Active,False,B2B,,,,,,,Sunny Pine Home Care,2026-02-05T12:14:14+11:00,SQL,Disability,,,,0420654858,,False,False,,False,[],approved,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,False,False,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,False,False,False,Standard,Standard,84257000000000627,Melisa Cavicchia,84257000000998001,mcavicchia@lumiacare.com.au,,
